Aargauer Gold-Hahnenfuß	Ranunculus argoviensis
Grossblütiges Hirtentäschel	Capsella grandiflora (Fauché & Chaub.) Boiss.
Grossblütiges Johanniskraut	Hypericum calycinum
großblütiges Johanniskraut	Hypericum calycinum
Grossblütiges Johanniskraut	Hypericum calycinum L.
großblütiges Perlkörbchen	Anaphalis margaritacea
Großblütiges Perlkörbchen	Anaphalis margaritacea (L.) Benth.
Großblütiges Perlpfötchen	Anaphalis margaritacea
Grossblütiges Sandkraut	Arenaria grandiflora
Grossblütiges Sandkraut	Arenaria grandiflora L.
Großblütiges Schleierkraut	Gypsophila pacifica
Grossblütiges Schneeglöckchen	Galanthus elwesii
großblütiges Schneeglöckchen	Galanthus elwesii
Grossblütiges Schneeglöckchen	Galanthus elwesii Hook. f.
Grossblütiges Sonnenröschen	Helianthemum nummularium
Großblütiges Sonnenröschen	Helianthemum nummularium
Großblütiges Sonnenröschen	Helianthemum nummularium subsp. grandiflorum
Grossblütiges Sonnenröschen	Helianthemum nummularium subsp. grandiflorum (Scop.) Schinz & Thell.
großblütiges Spaltkölbchen	Schisandra grandiflora
Großblütiges Steintäschel	Aethionema grandiflorum
Großblütiges Sumpf-Vergißmeinicht	Myosotis scorpioides
Großblütiges Sumpf-Vergißmeinicht	Myosotis scorpioides subsp. praecox
Großblütiges Wiesen-Labkraut	Galium album
Großblütiges Wiesen-Labkraut	Galium album Mill.
Großblütiges Wiesen-Labkraut	Galium album subsp. album
Großblütiges Wiesen-Labkraut	Galium album subsp. album Mill.
Großblütiges Wiesen-Leinblatt	Thesium pyrenaicum
Großblütiges Wiesen-Leinblatt	Thesium pyrenaicum subsp. grandiflorum
Großblütiges Wiesenlabkraut	Galium album
Großblütiges Wiesenlabkraut	Galium album Mill.
Grossblütiges Wollkraut	Verbascum densiflorum
Grossblütiges Wollkraut	Verbascum densiflorum Bertol.
Große Achatschnecke	Achatina fulica
Grosse Bibernelle	Pimpinella major
Große Bibernelle	Pimpinella major
Grosse Bibernelle	Pimpinella major (L.) Huds.
Große Bibernelle	Pimpinella major (L.) Huds.
Grosse Bibernelle	Pimpinella major (L.) Hudson
Große Bibernelle	Pimpinella major subsp. major
Große Braunelle	Prunella grandiflora
Grosse Brennessel	Urtica dioica
große Brennessel	Urtica dioica
Grosse Brennessel	Urtica dioica L.
Grosse Brennnessel	Urtica dioica
Große Brennnessel	Urtica dioica
Grosse Brennnessel	Urtica dioica L.
Große Brennnessel	Urtica dioica L. s. l.
Grosse Brunelle	Prunella grandiflora
Grosse Brunelle	Prunella grandiflora (L.) Scholler
Große Dolden-Glockenblume	Campanula lactiflora
Große Eberwurz	Carlina acaulis
Große Eberwurz	Carlina acaulis subsp. acaulis
Große Fetthenne	Sedum maximum
Grosse Fetthenne	Sedum telephium
Große Fetthenne	Sedum telephium
Große Fetthenne	Sedum telephium agg.
Grosse Fetthenne	Sedum telephium L.
Große Fetthenne	Sedum telephium ssp. maximum
Große Fetthenne	Sedum telephium subsp. maximum
Grosse Fetthenne	Sedum telephium subsp. maximum (L.) Kirschl.
Grosse Flamingoblume	Anthurium andraeanum
große Flamingoblume	Anthurium andraeanum
große Flamingoblume	Anthurium x ferrierense
Große Grannen-Segge	Carex atherodes
Große Grannen-Segge	Carex atherodes Spreng.
Große Grannensegge	Carex atherodes
Große Grannensegge	Carex atherodes Spreng.
Grosse Graslilie	Anthericum liliago
Grosse Graslilie	Anthericum liliago L.
Große Haarstiel-Segge	Carex capillaris
Große Haarstiel-Segge	Carex capillaris var. major
Grosse Hainsimse	Luzula sylvatica
Grosse Hainsimse	Luzula sylvatica (Huds.) Gaudin
Grosse Kapuzinerkresse	Tropaeolum majus
Grosse Kapuzinerkresse	Tropaeolum majus L.
Große Käsepappel	Malva sylvestris
Grosse Klee-Seide	Cuscuta campestris
Grosse Klee-Seide	Cuscuta campestris Yunck.
Grosse Klette	Arctium lappa
große Klette	Arctium lappa
Grosse Klette	Arctium lappa L.
Große Klette	Arctium lappa L.
Grosse Knorpelmöhre	Ammi majus
große Knorpelmöhre	Ammi majus
Grosse Knorpelmöhre	Ammi majus L.
Große Kuhschelle	Pulsatilla vulgaris
Große Kuhschelle	Pulsatilla vulgaris subsp. grandis
große Moosbeere	Vaccinium macrocarpon
Große Ochsenzunge	Anchusa azurea
Grosse Pantoffelblume	Calceolaria
Große Pimpinelle	Pimpinella major
Große Pimpinelle	Pimpinella major subsp. major
große Sapote	Pouteria sapota
Große Scheinwasserpest	Lagarosiphon major
Grosse Soldanelle	Soldanella alpina
Grosse Soldanelle	Soldanella alpina L.
Grosse Sommerwurz	Orobanche elatior
Große Sommerwurz	Orobanche elatior
Grosse Sommerwurz	Orobanche elatior Sutton
Große Sommerwurz	Orobanche elatior Sutton
Grosse Sommerwurz	Orobanche major
Grosse Sommerwurz	Orobanche major L.
Große Sparrige Brombeere	Rubus integribasis
Große Sparrige Brombeere	Rubus integribasis P. J. Müll. ex Boulay
Große Spinnen-Ragwurz	Ophrys sphegodes
Grosse Sterndolde	Astrantia major
Große Sterndolde	Astrantia major
Grosse Sterndolde	Astrantia major L.
Große Sterndolde	Astrantia major L.
Große Sterndolde	Astrantia major subsp. major
Große Sternhyazinthe	Chionodoxa forbesii
Große Sternmiere	Stellaria holostea
Große Sternmiere	Stellaria holostea L.
Große Taubnessel	Lamium orvala
Grosse Teichrose	Nuphar lutea
Große Teichrose	Nuphar lutea
Grosse Teichrose	Nuphar lutea (L.) Sm.
Grosse Teichrose	Nuphar pumila
Grosse Teichrose	Nuphar pumila (Timm) DC.
Grosse Telekie	Telekia speciosa
Große Telekie	Telekia speciosa
Grosse Telekie	Telekia speciosa (Schreb.) Baumg.
Große Telekie	Telekia speciosa (Schreb.) Baumg.
Grosse Trauer-Segge	Carex atrata
Große Trauer-Segge	Carex atrata
Große Trauer-Segge	Carex atrata subsp. aterrima
Grosse Trauer-Segge	Carex atrata subsp. aterrima (Hoppe) Hartm.
Große Trauer-Segge	Carex atrata subsp. aterrima (Hoppe) Hartm.
Große Trauersegge	Carex atrata
Große Trauersegge	Carex atrata subsp. aterrima (Hoppe) Hartm.
Grosse Wachsblume	Cerinthe major
große Wachsblume	Cerinthe major
Grosse Wachsblume	Cerinthe major L.
Große Waldanemone	Anemone sylvestris
Große Zirmet	Tordylium maximum
Große Zirmet	Tordylium maximum L.
Großer Acker-Spergel	Spergula arvensis
Großer Acker-Spergel	Spergula arvensis subsp. maxima
Großer Alant	Inula magnifica
Grosser Algenfarn	Azolla filiculoides
Großer Algenfarn	Azolla filiculoides
Grosser Algenfarn	Azolla filiculoides Lam.
Großer Algenfarn	Azolla filiculoides Lam.
Großer Augentrost	Euphrasia officinalis
Großer Augentrost	Euphrasia officinalis L. s. l.
Grosser Baldrian	Valeriana repens
Grosser Baldrian	Valeriana repens Host
Großer Blauhalm	Andropogon gerardii
Grosser Bocksbart	Tragopogon dubius
großer Bocksbart	Tragopogon dubius
Grosser Bocksbart	Tragopogon dubius Scop.
Großer Bocksbart	Tragopogon dubius Scop.
Großer Ehrenpreis	Veronica austriaca
Großer Ehrenpreis	Veronica austriaca agg.
Grosser Ehrenpreis	Veronica teucrium
Großer Ehrenpreis	Veronica teucrium
Grosser Ehrenpreis	Veronica teucrium L.
Großer Ehrenpreis	Veronica teucrium L.
Großer Federbuschstrauch	Fothergilla major
Grosser Holzbambus	Phyllostachys bambusoides
Grosser Holzbambus	Phyllostachys bambusoides Siebold & Zucc.
großer Känguruapfel	Solanum laciniatum
Großer Klappertopf	Rhinanthus angustifolius
Großer Klappertopf	Rhinanthus serotinus
großer Knorpellattich	Chondrilla juncea
Großer Knorpellattich	Chondrilla juncea L.
Grosser Lagarosiphon	Lagarosiphon major
Grosser Lagarosiphon	Lagarosiphon major (Ridl.) Moss
Großer Lavendel	Lavandula latifolia
Grosser Mannsschild	Androsace maxima
Großer Mannsschild	Androsace maxima
Grosser Mannsschild	Androsace maxima L.
Großer Mannsschild	Androsace maxima L.
Grosser Merk	Sium latifolium
Großer Merk	Sium latifolium
Grosser Merk	Sium latifolium L.
Großer Merk	Sium latifolium L.
Großer Milchstern	Ornithogalum saundersiae
Grosser Odermennig	Agrimonia procera
großer Odermennig	Agrimonia procera
Grosser Odermennig	Agrimonia procera Wallr.
Großer Odermennig	Agrimonia procera Wallr.
Großer Pfeifenstrauch	Philadelphus coronarius
Großer Salz-Klappertopf	Rhinanthus angustifolius
Großer Salz-Klappertopf	Rhinanthus angustifolius subsp. halophilus
Großer Sauerampfer	Rumex acetosa
großer Scheinmohn	Meconopsis grandis
großer Schuppenkopf	Cephalaria gigantea
Großer Schwaden	Glyceria maxima
Großer Schwaden	Glyceria maxima (Hartm.) Holmb.
Großer Schwielen-Löwenzahn	Taraxacum magnolevigatum
Großer Schwielen-Löwenzahn	Taraxacum magnolevigatum W. Koch ex Soest
Großer Schwielenlöwenzahn	Taraxacum magnolevigatum
Großer Schwielenlöwenzahn	Taraxacum magnolevigatum W. Koch ex Soest
Großer Sonnenhut	Rudbeckia maxima
großer Speik	Lavandula latifolia
Grosser Strahlensame	Silene alpestris
Grosser Strahlensame	Silene alpestris Jacq.
Grosser Sumpf-Hahnenfuss	Ranunculus lingua
Grosser Sumpf-Hahnenfuss	Ranunculus lingua L.
Großer Vogelfuß	Ornithopus sativus
Großer Vogelfuß	Ornithopus sativus Brot.
Grosser Wasser-Hahnenfuss	Ranunculus aquatilis
Grosser Wasser-Hahnenfuss	Ranunculus aquatilis L.
Großer Wasserdost	Eupatorium fistulosum
Großer Wasserdost	Eupatorium fistulosum f. albidum
Grosser Wasserfenchel	Oenanthe aquatica
großer Wasserfenchel	Oenanthe aquatica
Grosser Wasserfenchel	Oenanthe aquatica (L.) Poir.
Großer Wassernabel	Hydrocotyle ranunculoides
Grosser Wegerich	Plantago major
Grosser Wegerich	Plantago major L.
Grosser Wegerich	Plantago major L. s.str.
Grosser Wegerich	Plantago major L. subsp. major
Grosser Wiesenknopf	Sanguisorba officinalis
großer Wiesenknopf	Sanguisorba officinalis
Grosser Wiesenknopf	Sanguisorba officinalis L.
Großer Wiesenknopf	Sanguisorba officinalis L.
Grosser Zweiblüten-Steinbrech	Saxifraga biflora
Grosser Zweiblüten-Steinbrech	Saxifraga biflora subsp. macropetala (Engl.) Rouy & E. G. Camus
Größeres Mädchenauge	Coreopsis major
Grossers Ahorn	Acer davidii
Grossers Ahorn	Acer davidii subsp. grosserii
Grosses Alpenglöckchen	Soldanella alpina
Grosses Alpenglöckchen	Soldanella alpina L.
großes Ammei	Ammi majus
Grosses Büchsenkraut	Lindernia dubia
Großes Büchsenkraut	Lindernia dubia
Grosses Büchsenkraut	Lindernia dubia (L.) Pennell
Grosses Federgras	Stipa pulcherrima
Großes Federgras	Stipa pulcherrima
Grosses Federgras	Stipa pulcherrima K. Koch
Grosses Federgras	Stipa pulcherrima K. Koch s.str.
großes Fensterblatt	Monstera deliciosa
Großes Fettblatt	Sedum telephium
Großes Fettblatt	Sedum telephium ssp. maximum
Grosses Flohkraut	Pulicaria dysenterica
großes Flohkraut	Pulicaria dysenterica
Grosses Flohkraut	Pulicaria dysenterica (L.) Bernh.
Großes Gold-Fettblatt	Sedum aizoon
Großes Gummikraut	Grindelia robusta
Großes Hartheu	Hypericum majus
Grosses Hexenkraut	Circaea lutetiana
Großes Hexenkraut	Circaea lutetiana
Grosses Hexenkraut	Circaea lutetiana L.
Grosses Immergrün	Vinca major
großes Immergrün	Vinca major
Grosses Immergrün	Vinca major L.
Grosses Johanniskraut	Hypericum majus
Grosses Johanniskraut	Hypericum majus (A. Gray) Britton
Großes Kanadisches Johanniskraut	Hypericum majus
Grosses Knorpelkraut	Polycnemum majus
Großes Knorpelkraut	Polycnemum majus
Grosses Knorpelkraut	Polycnemum majus A. Br.
Grosses Knorpelkraut	Polycnemum majus A. Braun
Großes Knorpelkraut	Polycnemum majus A. Braun
Großes Kranzmoos	Rhytidiadelphus triquetrus
großes Liebesgras	Eragrostis cilianensis
Grosses Löwenmaul	Antirrhinum majus
Grosses Löwenmaul	Antirrhinum majus L.
Großes Mädesüß	Filipendula ulmaria
Grosses Nixenkraut	Najas marina
Großes Nixenkraut	Najas marina
Grosses Nixenkraut	Najas marina L.
Großes Nixenkraut	Najas marina L. s. l.
Grosses Nixenkraut	Najas marina L. subsp. marina
Großes Nixenkraut	Najas marina subsp. marina
Großes Nixkraut	Najas marina
Großes Nixkraut	Najas marina subsp. marina
Großes Perlkörbchen	Anaphalis margaritacea
Grosses Rindsauge	Telekia speciosa
Grosses Rindsauge	Telekia speciosa (Schreb.) Baumg.
Großes Rispengras	Poa hybrida
Großes Schillergras	Koeleria pyramidata
Großes Schillergras	Koeleria pyramidata (Lam.) P. Beauv.
Großes Schillergras	Koeleria pyramidata agg.
Grosses Schneeglöckchen	Leucojum vernum
Grosses Schneeglöckchen	Leucojum vernum L.
Großes Schöllkraut	Chelidonium majus
Großes Springkraut	Impatiens noli-tangere
Großes Springkraut	Impatiens noli-tangere L.
Grosses Stilblütengras	Miscanthus sacchariflorus
Grosses Stilblütengras	Miscanthus sacchariflorus (Maxim.) Hack.
Grosses Süssgras	Glyceria maxima
Grosses Süssgras	Glyceria maxima (Hartm.) Holmb.
Grosses Süssgras	Glyceria maxima (Hartman) Holmb.
Großes Tropfengras	Sporobolus wrightii
Grosses Vergissmeinnicht	Omphalodes verna
Grosses Vergissmeinnicht	Omphalodes verna Moench
Großes Windröschen	Anemone sylvestris
Großes Windröschen	Anemone sylvestris L.
Grosses Zittergras	Briza maxima
Grosses Zittergras	Briza maxima L.
Grosses Zweiblatt	Listera ovata
Großes Zweiblatt	Listera ovata
Grosses Zweiblatt	Listera ovata (L.) R. Br.
Großes Zweiblatt	Listera ovata (L.) R. Br.
Grosses-Hexenkraut	Circaea lutetiana
Grosses-Hexenkraut	Circaea lutetiana L.
Grosseshexenkraut	Circaea lutetiana
Grosseshexenkraut	Circaea lutetiana L.
Großfrüchtige Bräunliche Segge	Carex brunnescens
Großfrüchtige Bräunliche Segge	Carex brunnescens var. vitilis
Großfrüchtige Gewöhnliche Sumpfbinse	Eleocharis palustris
Großfrüchtige Gewöhnliche Sumpfbinse	Eleocharis palustris subsp. vulgaris
großfrüchtige Kassie	Cassia grandis
Großfrüchtige Moosbeere	Mentha spicata
Grossfrüchtige Moosbeere	Vaccinium macrocarpon
Großfruchtige Moosbeere	Vaccinium macrocarpon
Großfrüchtige Moosbeere	Vaccinium macrocarpon
Grossfrüchtige Moosbeere	Vaccinium macrocarpon Aiton
Großfrüchtige Moosbeere	Vaccinium macrocarpon Aiton
Grossfrüchtige Spitzklette	Xanthium orientale
Großfrüchtige Spitzklette	Xanthium orientale
Großfrüchtige Spitzklette	Xanthium orientale agg.
Grossfrüchtige Spitzklette	Xanthium orientale L.
Grossfrüchtiger Gold-Hahnenfuß	Ranunculus megacarpus
Großfrüchtiger Gold-Hahnenfuß	Ranunculus megacarpus
Grossfrüchtiger Gold-Hahnenfuß	Ranunculus megacarpus W. Koch
Grossfrüchtiger Goldhahnenfuß	Ranunculus megacarpus
Grossfrüchtiger Goldhahnenfuß	Ranunculus megacarpus W. Koch
Großfrüchtiger Weißdorn	Crataegus ×
Großfrüchtiger Weißdorn	Crataegus × macrocarpa
Grossfrüchtiger Weissdorn	Crataegus macrocarpa
Großfrüchtiger Weißdorn	Crataegus macrocarpa
Grossfrüchtiger Weissdorn	Crataegus macrocarpa Hegetschw.
Großfrüchtiger Weißdorn	Crataegus macrocarpa Hegetschw. s. str.
Grossfrüchtiges Hornkraut	Cerastium fontanum
Grossfrüchtiges Hornkraut	Cerastium fontanum subsp. lucorum (Schur) Soó
Großfrüchtiges Hornkraut	Cerastium lucorum
Großfrüchtiges Hornkraut	Cerastium lucorum (Schur) Möschl
Großfrüchtiges Pfaffenhütchen	Euonymus planipes
Großfrüchtiges Quendel-Sandkraut	Arenaria serpyllifolia
Großfrüchtiges Quendel-Sandkraut	Arenaria serpyllifolia subsp. lloydii
großgeflecktes Lungenkraut	Pulmonaria saccharata
großkegelfrüchtiges Leimkraut	Silene conoidea
Großkelchige Brunfelsie	Brunfelsia pauciflora
Grosskelchiger Mannsschild	Androsace maxima
Grosskelchiger Mannsschild	Androsace maxima L.
Grosskelchiger Weissdorn	Crataegus rhipidophylla
Großkelchiger Weißdorn	Crataegus rhipidophylla
Grosskelchiger Weissdorn	Crataegus rhipidophylla Gand.
Grossköpfige Färber-Scharte	Serratula tinctoria
Großköpfige Färber-Scharte	Serratula tinctoria
Großköpfige Färber-Scharte	Serratula tinctoria subsp. macrocephala
Grossköpfige Färber-Scharte	Serratula tinctoria subsp. monticola (Boreau) Berher
großköpfige Flockenblume	Centaurea macrocephala
Grossköpfige Gämswurz	Doronicum grandiflorum
Grossköpfige Gämswurz	Doronicum grandiflorum Lam.
Grossköpfige Gemswurz	Doronicum grandiflorum
Grossköpfige Gemswurz	Doronicum grandiflorum Lam.
Grossköpfige Scharte	Serratula tinctoria
Grossköpfige Scharte	Serratula tinctoria subsp. macrocephala (Bertol.) Wilczek & Schinz
Großköpfiger Löwenzahn	Taraxacum praeradians
Großköpfiger Löwenzahn	Taraxacum praeradians Dahlst.
Grossköpfiger Pippau	Crepis conyzifolia
Großköpfiger Pippau	Crepis conyzifolia
Grossköpfiger Pippau	Crepis conyzifolia (Gouan) A. Kern.
Großköpfiger Pippau	Crepis conyzifolia (Gouan) Kern.
Grossköpfiger Wundklee	Anthyllis vulneraria
Grossköpfiger Wundklee	Anthyllis vulneraria subsp. polyphylla (DC.) Nyman
Großköpfiges Habichtskraut	Hieracium macranthum
Großlappiger Löwenzahn	Taraxacum copidophyllum
Großlappiger Löwenzahn	Taraxacum macrolobum
Großläuferiges Habichtskraut	Hieracium macrostolonum
Grosslippiger Ziest	Stachys recta
Grosslippiger Ziest	Stachys recta subsp. grandiflora (Caruel) Arcang.
Grossohr-Gold-Hahnenfuß	Ranunculus macrotis
Großohr-Gold-Hahnenfuß	Ranunculus macrotis
Grossohr-Gold-Hahnenfuß	Ranunculus macrotis Brodtb.
Grossohr-Goldhahnenfuß	Ranunculus macrotis
Grossohr-Goldhahnenfuß	Ranunculus macrotis Brodtb.
Großpfeil-Löwenzahn	Taraxacum sagittipotens
Großpfeil-Löwenzahn	Taraxacum sagittipotens Dahlst. & Ohlsen ex G. E. Haglund
Großpfeillöwenzahn	Taraxacum sagittipotens
Großpfeillöwenzahn	Taraxacum sagittipotens Dahlst. & Ohlsen ex G. E. Haglund
Großrispige Brombeere	Rubus macrostachys
Großrispige Brombeere	Rubus macrostachys P. J. Müll.
Großschuppige Nickende Distel	Carduus nutans
Großschuppige Nickende Distel	Carduus nutans subsp. macrolepis
Großschuppige Wiesen-Flockenblume	Centaurea jacea
Großschuppige Wiesen-Flockenblume	Centaurea jacea subsp. decipiens
Größte Haselblatt-Brombeere	Rubus maximus
Größte Haselblatt-Brombeere	Rubus maximus T. Marsson
Größte Haselblattbrombeere	Rubus maximus
Größte Haselblattbrombeere	Rubus maximus T. Marsson
Grossulariaceae	Stachelbeergewächse
Grosswurzeliger Storchschnabel	Geranium macrorrhizum
Grosswurzeliger Storchschnabel	Geranium macrorrhizum L.
Grosswurzliger Storchenschnabel	Geranium macrorrhizum
Grosswurzliger Storchenschnabel	Geranium macrorrhizum L.
Grosswurzliger Storchschnabel	Geranium macrorrhizum
Grosswurzliger Storchschnabel	Geranium macrorrhizum L.
Grubiger Hohlsame	Bifora testiculata
Grubiger Hohlsame	Bifora testiculata (L.) Spreng.
Grün-Erle	Alnus alnobetula
Grün-Erle	Alnus viridis
Grün-Erle	Alnus viridis (Chaix) DC.
Grünähriger Amarant	Amaranthus powellii
Grünähriger Bastard-Amarant	Amaranthus hypochondriacus
Grünähriger Bastard-Amarant	Amaranthus hypochondriacus L.
Grünähriger Bastard-Amarant	Amaranthus powellii
Grünähriger Bastard-Amarant	Amaranthus powellii S. Watson
Grünähriger Fuchsschwanz	Amaranthus chlorostachys
Grünähriger Fuchsschwanz	Amaranthus hybridus
Grünähriger Fuchsschwanz	Amaranthus hybridus agg.
Grünähriger Fuchsschwanz	Amaranthus hypochondriacus
Grünähriger Fuchsschwanz	Amaranthus hypochondriacus L.
grünähriger Fuchsschwanz	Amaranthus powellii
Grünähriger Fuchsschwanz	Amaranthus powellii S. Watson
Grünästige Brombeere	Rubus chloocladus
Grünästige Brombeere	Rubus chloocladus W. C. R. Watson
Grünauge	Berlandiera lyriata
Grünbblättriges Habichtskraut	Hieracium viridifolium
Grünbblättriges Habichtskraut	Hieracium viridifolium Peter
Grünblättrige Parakresse	Acmella oleracea
Grünblättrige Parakresse	Acmella oleracea f. viridis
Grünblättrige Riesen-Funkie	Hosta elata
Grünblättrige Schwarznessel	Perilla frutescens
Grünblättrige Schwarznessel	Perilla frutescens var. crispa
Grünblättriger Alpendost	Adenostyles alpina
Grünblättriger Schwefelkopf	Hypholoma fasciculare
Grünblättriges Habichtskraut	Hieracium viridifolium
Grünblättriges Heiligenkraut	Santolina rosmarinifolia
Grünblühender Wiesen-Bärenklau	Heracleum sphondylium
Grünblühender Wiesen-Bärenklau	Heracleum sphondylium subsp. sibiricum
