Kurilen-Kirsche	Prunus nipponica var. kurilensis
Küsten-Mammutbaum	Sequoia sempervirens
Küsten-Tanne	Abies grandis
Lacebark Flaschenbaum	Brachychiton discolor
Lachs-Himbeere	Rubus spectabilis
Lack-Zistrose	Cistus ladanifer
Lamberts-Hasel	Corylus maxima
Langblättrige Deutzie	Deutzia longifolia
Lawsons Scheinzypresse	Chamaecyparis lawsoniana
Lederblatt-Ahorn	Acer coriaceifolium
Lederblättriger Weißdorn	Crataegus x lavallei 'Carrierei'
Leier-Feige	Ficus lyrata
Leierholz	Citharexylum spinosum
Leuchtende Birke	Betula alnoides subsp. luminifera
Libanon Zeder	Cedrus libani
Libanon-Eiche	Quercus libani
Lindenblättrige Birke	Betula maximowicziana
Lorbeerbaum	Laurus nobilis
Lorbeerblättriger Schneeball	Viburnum tinus
Losbaum	Clerodendrum trichotomum
Lotuspflaume	Diospyros lotus
Maacks Heckenkirsche	Lonicera maackii
Macchien-Geißblatt	Lonicera implexa
Madagaskarpalme	Pachypodium lamerei
Mädchen-Kiefer	Pinus parviflora
Mahagoni-Kirsche	Prunus serrula
Mandelbaum	Prunus dulcis
Mandelbäumchen	Prunus triloba
Mandschurische Tanne	Abies holophylla
Mandschurischer Ahorn	Acer mandshuricum
Manilapalme	Adonidia merrillii
Manna-Esche	Fraxinus ornus
Mastixstrauch	Pistacia lentiscus
Maulbeer-Feige	Ficus sycomorus
Mesquite	Prosopis juliflora
Mexikanische Fächerpalme	Washingtonia robusta
Mirabelle	Prunus domestica ssp. syriaca
Mispel	Mespilus germanica
Mistel	Viscum album
Mittelmeer-Seidelbast	Daphne gnidium
Mittlere Mahonie	Mahonia x media
Mönchspfeffer	Vitex agnus-castus
Mongolische Birke	Betula dahurica
Mongolische Linde	Tilia mongolica
Montpelier-Zistrose	Cistus monspeliensis
Moor-Birke	Betula pubescens
Morgenländischer Lebensbaum	Platycladus orientalis
Myoporum serratum	Myoporum serratum
Myrtenblättrige Kreuzblume	Polygala myrtifolia
Nashi-Birne	Pyrus pyrifolia var. culta
